group;year;week;value
Total;2019;42;56995
Total;2019;43;56994
Total;2019;44;56867
Total;2019;45;56828
Total;2019;46;57376
Total;2019;47;58286
Total;2019;48;58652
Total;2019;49;59140
Total;2019;50;60729
Total;2019;51;63531
Total;2019;52;64732
Total;2020;0;0
Total;2020;1;3255
Total;2020;2;8103
Total;2020;3;11934
Total;2020;4;14541
Total;2020;5;18188
Total;2020;6;19829
Total;2020;7;21362
Total;2020;8;20996
Total;2020;9;21372
Total;2020;10;22603
Total;2020;11;26169
Total;2020;12;37565
Total;2020;13;62460
Total;2020;14;98636
Total;2020;15;133090
Total;2020;16;157893
Total;2020;17;173730
Total;2020;18;182345
Total;2020;19;187946
Total;2020;20;190181
Total;2020;21;192208
Total;2020;22;192311
Total;2020;23;191832
Total;2020;24;190866
Total;2020;25;190003
Total;2020;26;191429
Total;2020;27;191447
Total;2020;28;191344
Total;2020;29;191686
Total;2020;30;192548
Total;2020;31;195526
Total;2020;32;197704
Total;2020;33;202938
Total;2020;34;203981
Total;2020;35;204115
Total;2020;36;204440
Total;2020;37;205818
Total;2020;38;208164
Total;2020;39;208990
Total;2020;40;211498
Total;2020;41;214218
Total;2020;42;217966
Total;2020;43;226052
Total;2020;44;237213
Total;2020;45;251417
Total;2020;46;266609
Total;2020;47;280624
Total;2020;48;293906
Total;2020;49;307328
Total;2020;50;320576
Total;2020;51;332728
Total;2020;52;344083
0to14;2021;0;0
0to14;2021;1;-44
0to14;2021;2;-78
0to14;2021;3;-109
0to14;2021;4;-120
0to14;2021;5;-140
0to14;2021;6;-123
0to14;2021;7;-131
0to14;2021;8;-172
0to14;2021;9;-155
0to14;2021;10;-198
0to14;2021;11;-203
0to14;2021;12;-208
0to14;2021;13;-209
0to14;2021;14;-242
0to14;2021;15;-248
0to14;2021;16;-273
0to14;2021;17;-267
0to14;2021;18;-281
0to14;2021;19;-268
0to14;2021;20;-289
0to14;2021;21;-302
0to14;2021;22;-291
0to14;2021;23;-284
0to14;2021;24;-283
0to14;2021;25;-285
0to14;2021;26;-262
0to14;2021;27;-254
0to14;2021;28;-239
0to14;2021;29;-223
0to14;2021;30;-191
0to14;2021;31;-194
0to14;2021;32;-174
0to14;2021;33;-184
0to14;2021;34;-187
0to14;2021;35;-196
0to14;2021;36;-199
0to14;2021;37;-173
0to14;2021;38;-156
0to14;2021;39;-115
0to14;2021;40;-110
0to14;2021;41;-100
0to14;2021;42;-73
0to14;2021;43;-49
0to14;2021;44;-37
0to14;2021;45;-4
0to14;2021;46;21
0to14;2021;47;45
0to14;2021;48;107
0to14;2021;49;101
0to14;2021;50;154
0to14;2021;51;171
0to14;2021;52;218
0to14;2022;0;0
0to14;2022;1;13
0to14;2022;2;13
0to14;2022;3;24
0to14;2022;4;21
0to14;2022;5;73
0to14;2022;6;74
0to14;2022;7;79
0to14;2022;8;73
0to14;2022;9;81
0to14;2022;10;118
0to14;2022;11;123
0to14;2022;12;113
0to14;2022;13;134
0to14;2022;14;117
0to14;2022;15;151
0to14;2022;16;155
0to14;2022;17;144
0to14;2022;18;154
0to14;2022;19;209
0to14;2022;20;232
0to14;2022;21;223
0to14;2022;22;237
0to14;2022;23;216
0to14;2022;24;269
0to14;2022;25;277
0to14;2022;26;286
0to14;2022;27;331
0to14;2022;28;339
0to14;2022;29;362
0to14;2022;30;374
0to14;2022;31;378
0to14;2022;32;391
0to14;2022;33;373
0to14;2022;34;368
0to14;2022;35;366
0to14;2022;36;381
0to14;2022;37;424
0to14;2022;38;400
0to14;2022;39;437
0to14;2022;40;455
0to14;2022;41;465
0to14;2022;42;465
0to14;2022;43;488
0to14;2022;44;510
0to14;2022;45;567
0to14;2022;46;595
0to14;2022;47;600
0to14;2022;48;630
0to14;2022;49;721
0to14;2022;50;793
0to14;2022;51;852
0to14;2022;52;944
0to14;2023;0;0
0to14;2023;1;27
0to14;2023;2;36
0to14;2023;3;16
0to14;2023;4;42
0to14;2023;5;50
0to14;2023;6;91
0to14;2023;7;128
0to14;2023;8;171
0to14;2023;9;186
0to14;2023;10;217
0to14;2023;11;252
0to14;2023;12;240
0to14;2023;13;238
0to14;2023;14;254
0to14;2023;15;249
0to14;2023;16;272
0to14;2023;17;261
0to14;2023;18;207
0to14;2023;19;217
0to14;2023;20;242
0to14;2023;21;252
0to14;2023;22;275
0to14;2023;23;279
0to14;2023;24;288
0to14;2023;25;282
0to14;2023;26;295
0to14;2023;27;307
0to14;2023;28;304
0to14;2023;29;327
0to14;2023;30;335
0to14;2023;31;336
0to14;2023;32;341
0to14;2023;33;328
0to14;2023;34;329
0to14;2023;35;311
0to14;2023;36;316
0to14;2023;37;330
0to14;2023;38;374
0to14;2023;39;412
0to14;2023;40;434
0to14;2023;41;433
0to14;2023;42;463
0to14;2023;43;475
0to14;2023;44;501
0to14;2023;45;486
0to14;2023;46;495
0to14;2023;47;485
0to14;2023;48;510
0to14;2023;49;565
0to14;2017;0;0
0to14;2017;51;13
