group;year;week;value
45to64;2020;5;1742
45to64;2020;6;2003
45to64;2020;7;2106
45to64;2020;8;2179
45to64;2020;9;2267
45to64;2020;10;2458
45to64;2020;11;2865
45to64;2020;12;3789
45to64;2020;13;5569
45to64;2020;14;8124
45to64;2020;15;10287
45to64;2020;16;11757
45to64;2020;17;12649
45to64;2020;18;13045
45to64;2020;19;13438
45to64;2020;20;13658
45to64;2020;21;13969
45to64;2020;22;14159
45to64;2020;23;14177
45to64;2020;24;14255
45to64;2020;25;14078
45to64;2020;26;14241
45to64;2020;27;14195
45to64;2020;28;14247
45to64;2020;29;14237
45to64;2020;30;14347
45to64;2020;31;14571
45to64;2020;32;14789
45to64;2020;33;15272
45to64;2020;34;15293
45to64;2020;35;15286
45to64;2020;36;15322
45to64;2020;37;15484
45to64;2020;38;15734
45to64;2020;39;15912
45to64;2020;40;16158
45to64;2020;41;16564
45to64;2020;42;16931
45to64;2020;43;17584
45to64;2020;44;18355
45to64;2020;45;19310
45to64;2020;46;20479
45to64;2020;47;21492
45to64;2020;48;22763
45to64;2020;49;23919
45to64;2020;50;25179
45to64;2020;51;26166
45to64;2020;52;27379
65to74;2021;0;0
65to74;2021;1;2391
65to74;2021;2;5353
65to74;2021;3;8462
65to74;2021;4;11213
65to74;2021;5;13480
65to74;2021;6;15196
65to74;2021;7;16844
65to74;2021;8;17816
65to74;2021;9;18832
65to74;2021;10;20080
65to74;2021;11;21318
65to74;2021;12;22618
65to74;2021;13;24067
65to74;2021;14;25535
65to74;2021;15;26757
65to74;2021;16;27993
65to74;2021;17;28961
65to74;2021;18;30196
65to74;2021;19;30811
65to74;2021;20;31360
65to74;2021;21;31560
65to74;2021;22;31838
65to74;2021;23;32270
65to74;2021;24;32590
65to74;2021;25;32831
65to74;2021;26;33232
65to74;2021;27;33496
65to74;2021;28;33924
65to74;2021;29;34578
65to74;2021;30;35117
65to74;2021;31;35759
65to74;2021;32;36578
65to74;2021;33;37278
65to74;2021;34;37903
65to74;2021;35;38755
65to74;2021;36;39696
65to74;2021;37;40237
65to74;2021;38;40630
65to74;2021;39;41215
65to74;2021;40;41871
65to74;2021;41;42829
65to74;2021;42;43478
65to74;2021;43;44512
65to74;2021;44;45532
65to74;2021;45;46870
65to74;2021;46;48170
65to74;2021;47;49965
65to74;2021;48;52155
65to74;2021;49;54129
65to74;2021;50;55957
65to74;2021;51;57837
65to74;2021;52;59660
65to74;2022;0;0
65to74;2022;1;1505
65to74;2022;2;3037
65to74;2022;3;4258
65to74;2022;4;5801
65to74;2022;5;7388
65to74;2022;6;8423
65to74;2022;7;9374
65to74;2022;8;9886
65to74;2022;9;10387
65to74;2022;10;10957
65to74;2022;11;11490
65to74;2022;12;12078
65to74;2022;13;12743
65to74;2022;14;13642
65to74;2022;15;14154
65to74;2022;16;14624
65to74;2022;17;15086
65to74;2022;18;15428
65to74;2022;19;15790
65to74;2022;20;16074
65to74;2022;21;15972
65to74;2022;22;16195
65to74;2022;23;16511
65to74;2022;24;17040
65to74;2022;25;17618
65to74;2022;26;18062
65to74;2022;27;18519
65to74;2022;28;19404
65to74;2022;29;20635
65to74;2022;30;21521
65to74;2022;31;22032
65to74;2022;32;22676
65to74;2022;33;23091
65to74;2022;34;23133
65to74;2022;35;23004
65to74;2022;36;23161
65to74;2022;37;23126
65to74;2022;38;23239
65to74;2022;39;23665
65to74;2022;40;24217
65to74;2022;41;24752
65to74;2022;42;25190
65to74;2022;43;25415
65to74;2022;44;25450
65to74;2022;45;25639
65to74;2022;46;25965
65to74;2022;47;26586
65to74;2022;48;27213
65to74;2022;49;28312
65to74;2022;50;30142
65to74;2022;51;32479
65to74;2022;52;34699
65to74;2023;0;0
65to74;2023;1;1695
65to74;2023;2;2679
65to74;2023;3;3339
65to74;2023;4;3790
65to74;2023;5;4026
65to74;2023;6;4427
65to74;2023;7;4709
65to74;2023;8;4874
65to74;2023;9;5141
65to74;2023;10;5693
65to74;2023;11;5977
65to74;2023;12;6096
65to74;2023;13;6074
65to74;2023;14;5992
65to74;2023;15;5946
65to74;2023;16;6034
65to74;2023;17;5978
65to74;2023;18;5794
65to74;2023;19;5547
65to74;2023;20;5108
65to74;2023;21;5036
65to74;2023;22;4750
65to74;2023;23;4750
65to74;2023;24;4760
65to74;2023;25;4721
65to74;2023;26;4374
65to74;2023;27;4256
65to74;2023;28;4044
65to74;2023;29;3835
65to74;2023;30;3870
65to74;2023;31;3408
65to74;2023;32;3378
65to74;2023;33;3113
65to74;2023;34;3197
65to74;2023;35;2895
65to74;2023;36;2860
65to74;2023;37;2765
65to74;2023;38;2312
65to74;2023;39;2065
65to74;2023;40;1851
65to74;2023;41;1734
65to74;2023;42;1559
65to74;2023;43;1408
65to74;2023;44;1373
65to74;2023;45;1320
65to74;2023;46;1312
65to74;2023;47;1308
65to74;2023;48;1372
65to74;2023;49;1069
65to74;2017;0;0
65to74;2017;51;730
65to74;2017;52;1870
65to74;2018;0;0
65to74;2018;1;1308
65to74;2018;2;2429
65to74;2018;3;3680
65to74;2018;4;4430
65to74;2018;5;5228
65to74;2018;6;6201
65to74;2018;7;7197
65to74;2018;8;8231
65to74;2018;9;9647
65to74;2018;10;11036
65to74;2018;11;11952
65to74;2018;12;12752
65to74;2018;13;13337
65to74;2018;14;13755
65to74;2018;15;13932
65to74;2018;16;14107
65to74;2018;17;13958
65to74;2018;18;13745
65to74;2018;19;13555
65to74;2018;20;13495
65to74;2018;21;13391
65to74;2018;22;13563
65to74;2018;23;13372
65to74;2018;24;13288
65to74;2018;25;13478
65to74;2018;26;13654
65to74;2018;27;13783
65to74;2018;28;13652
65to74;2018;29;13836
65to74;2018;30;13995
65to74;2018;31;14379
65to74;2018;32;14666
65to74;2018;33;14437
65to74;2018;34;14446
65to74;2018;35;14314
65to74;2018;36;14082
65to74;2018;37;14100
65to74;2018;38;14121
65to74;2018;39;14059
65to74;2018;40;14161
65to74;2018;41;14226
65to74;2018;42;14050
65to74;2018;43;13952
65to74;2018;44;14107
65to74;2018;45;14215
65to74;2018;46;13984
65to74;2018;47;13938
65to74;2018;48;14184
65to74;2018;49;14223
65to74;2018;50;14490
65to74;2018;51;14771
65to74;2018;52;15385
65to74;2019;0;0
65to74;2019;1;628
65to74;2019;2;1552
65to74;2019;3;2573
65to74;2019;4;3519
65to74;2019;5;4695
65to74;2019;6;5803
65to74;2019;7;6655
65to74;2019;8;7559
65to74;2019;9;8089
65to74;2019;10;8679
65to74;2019;11;9111
65to74;2019;12;9232
65to74;2019;13;9096
65to74;2019;14;9320
65to74;2019;15;9310
65to74;2019;16;9534
65to74;2019;17;9434
65to74;2019;18;9370
65to74;2019;19;9307
65to74;2019;20;9289
65to74;2019;21;9264
65to74;2019;22;9261
65to74;2019;23;9428
65to74;2019;24;9496
65to74;2019;25;9698
65to74;2019;26;10039
65to74;2019;27;10272
65to74;2019;28;10067
65to74;2019;29;9902
65to74;2019;30;10284
65to74;2019;31;10235
65to74;2019;32;10064
65to74;2019;33;9905
65to74;2019;34;9734
65to74;2019;35;9780
65to74;2019;36;9485
65to74;2019;37;9444
65to74;2019;38;9325
65to74;2019;39;9288
65to74;2019;40;9335
65to74;2019;41;9346
65to74;2019;42;9330
65to74;2019;43;9487
65to74;2019;44;9472
65to74;2019;45;9529
65to74;2019;46;9475
65to74;2019;47;9696
65to74;2019;48;9693
65to74;2019;49;10062
65to74;2019;50;10552
65to74;2019;51;11101
65to74;2019;52;11434
65to74;2020;0;0
65to74;2020;1;712
65to74;2020;2;1457
65to74;2020;3;2070
65to74;2020;4;2754
65to74;2020;5;3420
65to74;2020;6;3833
65to74;2020;7;4186
65to74;2020;8;4317
65to74;2020;9;4549
65to74;2020;10;4869
65to74;2020;11;5683
65to74;2020;12;7784
65to74;2020;13;11755
65to74;2020;14;16614
65to74;2020;15;20850
65to74;2020;16;23630
65to74;2020;17;25458
65to74;2020;18;26452
65to74;2020;19;27167
65to74;2020;20;27434
65to74;2020;21;27530
65to74;2020;22;27640
65to74;2020;23;27681
65to74;2020;24;27574
65to74;2020;25;27490
65to74;2020;26;27891
65to74;2020;27;28007
65to74;2020;28;27891
65to74;2020;29;27844
65to74;2020;30;27942
65to74;2020;31;28114
65to74;2020;32;28269
65to74;2020;33;28914
65to74;2020;34;28955
65to74;2020;35;29050
65to74;2020;36;29185
65to74;2020;37;29459
65to74;2020;38;29741
65to74;2020;39;30110
65to74;2020;40;30802
65to74;2020;41;31310
65to74;2020;42;32079
65to74;2020;43;33328
65to74;2020;44;35169
65to74;2020;45;37291
65to74;2020;46;39592
65to74;2020;47;41930
65to74;2020;48;44305
65to74;2020;49;46723
65to74;2020;50;48876
65to74;2020;51;50947
65to74;2020;52;53049
75to84;2021;0;0
75to84;2021;1;4483
75to84;2021;2;9888
75to84;2021;3;16198
75to84;2021;4;21166
75to84;2021;5;24890
75to84;2021;6;27340
75to84;2021;7;29013
75to84;2021;8;29772
75to84;2021;9;30161
75to84;2021;10;30598
75to84;2021;11;31111
75to84;2021;12;31821
75to84;2021;13;33035
75to84;2021;14;33913
75to84;2021;15;34494
75to84;2021;16;35290
75to84;2021;17;35647
75to84;2021;18;36121
75to84;2021;19;36125
75to84;2021;20;36016
75to84;2021;21;35838
75to84;2021;22;35551
75to84;2021;23;35247
75to84;2021;24;35200
75to84;2021;25;35222
75to84;2021;26;35429
75to84;2021;27;35507
75to84;2021;28;35792
75to84;2021;29;36985
75to84;2021;30;37791
75to84;2021;31;38969
75to84;2021;32;40215
75to84;2021;33;41288
75to84;2021;34;42126
75to84;2021;35;43104
75to84;2021;36;44415
75to84;2021;37;45006
75to84;2021;38;45258
75to84;2021;39;45870
75to84;2021;40;46287
75to84;2021;41;46932
75to84;2021;42;47756
75to84;2021;43;49055
75to84;2021;44;50197
75to84;2021;45;51817
75to84;2021;46;53576
75to84;2021;47;55754
75to84;2021;48;58490
75to84;2021;49;61028
75to84;2021;50;62992
75to84;2021;51;65208
75to84;2021;52;67637
75to84;2022;0;0
75to84;2022;1;1747
75to84;2022;2;3387
75to84;2022;3;5281
75to84;2022;4;7541
75to84;2022;5;9773
75to84;2022;6;11355
75to84;2022;7;12438
75to84;2022;8;13064
75to84;2022;9;13460
75to84;2022;10;13995
75to84;2022;11;14743
75to84;2022;12;15525
75to84;2022;13;16918
75to84;2022;14;18453
75to84;2022;15;19936
75to84;2022;16;20469
75to84;2022;17;21048
75to84;2022;18;21631
75to84;2022;19;22232
75to84;2022;20;22630
75to84;2022;21;22615
75to84;2022;22;23200
75to84;2022;23;23543
75to84;2022;24;24618
75to84;2022;25;25622
75to84;2022;26;26605
75to84;2022;27;28093
75to84;2022;28;30248
75to84;2022;29;33307
75to84;2022;30;35235
75to84;2022;31;36695
75to84;2022;32;38635
75to84;2022;33;39727
75to84;2022;34;40338
75to84;2022;35;40445
75to84;2022;36;40772
75to84;2022;37;40955
75to84;2022;38;41211
75to84;2022;39;42232
75to84;2022;40;43363
75to84;2022;41;44369
75to84;2022;42;45338
75to84;2022;43;46041
75to84;2022;44;46064
75to84;2022;45;46459
75to84;2022;46;46984
75to84;2022;47;47947
75to84;2022;48;48996
75to84;2022;49;51127
75to84;2022;50;54511
75to84;2022;51;59111
75to84;2022;52;63379
75to84;2023;0;0
75to84;2023;1;3379
75to84;2023;2;5566
75to84;2023;3;6599
75to84;2023;4;7426
75to84;2023;5;8284
75to84;2023;6;8755
75to84;2023;7;9395
75to84;2023;8;10045
75to84;2023;9;10349
75to84;2023;10;11474
75to84;2023;11;11995
75to84;2023;12;12037
75to84;2023;13;12101
75to84;2023;14;11883
75to84;2023;15;11967
75to84;2023;16;12207
75to84;2023;17;12405
75to84;2023;18;12311
75to84;2023;19;12181
75to84;2023;20;11914
75to84;2023;21;11958
75to84;2023;22;11852
75to84;2023;23;12207
75to84;2023;24;12510
75to84;2023;25;12861
75to84;2023;26;12601
75to84;2023;27;12373
75to84;2023;28;12414
75to84;2023;29;12771
75to84;2023;30;12944
75to84;2023;31;12848
75to84;2023;32;13195
75to84;2023;33;13675
75to84;2023;34;14307
75to84;2023;35;14199
75to84;2023;36;14771
75to84;2023;37;14539
75to84;2023;38;14377
75to84;2023;39;14386
75to84;2023;40;14361
75to84;2023;41;14538
75to84;2023;42;14928
75to84;2023;43;15576
75to84;2023;44;16048
75to84;2023;45;16568
75to84;2023;46;17074
75to84;2023;47;17634
75to84;2023;48;18406
75to84;2023;49;18120
75to84;2017;0;0
75to84;2017;51;1633
75to84;2017;52;3906
75to84;2018;0;0
75to84;2018;1;2820
75to84;2018;2;5331
75to84;2018;3;7454
75to84;2018;4;9182
75to84;2018;5;10640
75to84;2018;6;12062
75to84;2018;7;13927
75to84;2018;8;15680
75to84;2018;9;18499
75to84;2018;10;21377
75to84;2018;11;23039
75to84;2018;12;24175
75to84;2018;13;25277
75to84;2018;14;26057
75to84;2018;15;26443
75to84;2018;16;26526
75to84;2018;17;26032
75to84;2018;18;25677
75to84;2018;19;25066
75to84;2018;20;24384
75to84;2018;21;24316
75to84;2018;22;24365
75to84;2018;23;24248
75to84;2018;24;23779
75to84;2018;25;23511
75to84;2018;26;23791
75to84;2018;27;24075
75to84;2018;28;24082
75to84;2018;29;24194
75to84;2018;30;24775
75to84;2018;31;25433
75to84;2018;32;25914
75to84;2018;33;25633
75to84;2018;34;25417
75to84;2018;35;25028
75to84;2018;36;24794
75to84;2018;37;24401
75to84;2018;38;24032
75to84;2018;39;23647
75to84;2018;40;23391
75to84;2018;41;23344
75to84;2018;42;22676
75to84;2018;43;22181
75to84;2018;44;21955
75to84;2018;45;21852
75to84;2018;46;21360
75to84;2018;47;20966
75to84;2018;48;20834
75to84;2018;49;20743
75to84;2018;50;20578
75to84;2018;51;20667
75to84;2018;52;20776
75to84;2019;0;0
75to84;2019;1;731
75to84;2019;2;2284
75to84;2019;3;3722
75to84;2019;4;5192
75to84;2019;5;6591
75to84;2019;6;8294
75to84;2019;7;9419
75to84;2019;8;9943
75to84;2019;9;10559
75to84;2019;10;10628
75to84;2019;11;10698
75to84;2019;12;10164
75to84;2019;13;9866
75to84;2019;14;9672
75to84;2019;15;9370
75to84;2019;16;9307
75to84;2019;17;9147
75to84;2019;18;8791
75to84;2019;19;8717
75to84;2019;20;8592
75to84;2019;21;8615
75to84;2019;22;8269
75to84;2019;23;7979
75to84;2019;24;7851
75to84;2019;25;7684
75to84;2019;26;7916
75to84;2019;27;8202
75to84;2019;28;8061
75to84;2019;29;7793
75to84;2019;30;8633
75to84;2019;31;8324
75to84;2019;32;8077
75to84;2019;33;7575
75to84;2019;34;7380
75to84;2019;35;7239
75to84;2019;36;6720
75to84;2019;37;6219
75to84;2019;38;5796
75to84;2019;39;5454
75to84;2019;40;5133
75to84;2019;41;5111
75to84;2019;42;4948
75to84;2019;43;4699
75to84;2019;44;4457
75to84;2019;45;4168
75to84;2019;46;4406
75to84;2019;47;4435
75to84;2019;48;4304
75to84;2019;49;4159
75to84;2019;50;4352
75to84;2019;51;4816
75to84;2019;52;4935
75to84;2020;0;0
75to84;2020;1;217
75to84;2020;2;1057
75to84;2020;3;1594
75to84;2020;4;1791
75to84;2020;5;2236
75to84;2020;6;2175
75to84;2020;7;2221
75to84;2020;8;1727
75to84;2020;9;1504
75to84;2020;10;1621
75to84;2020;11;2255
75to84;2020;12;5673
75to84;2020;13;13589
75to84;2020;14;24114
75to84;2020;15;33984
75to84;2020;16;40857
75to84;2020;17;44925
75to84;2020;18;47116
75to84;2020;19;48416
75to84;2020;20;48921
75to84;2020;21;49205
75to84;2020;22;48864
75to84;2020;23;48662
75to84;2020;24;48339
75to84;2020;25;48034
75to84;2020;26;48020
75to84;2020;27;47844
75to84;2020;28;47654
75to84;2020;29;47697
75to84;2020;30;47621
75to84;2020;31;48299
75to84;2020;32;48666
75to84;2020;33;49864
75to84;2020;34;49897
75to84;2020;35;49865
75to84;2020;36;49746
75to84;2020;37;49926
75to84;2020;38;50345
75to84;2020;39;50605
75to84;2020;40;51145
75to84;2020;41;51863
75to84;2020;42;53071
75to84;2020;43;55327
75to84;2020;44;58783
75to84;2020;45;63272
75to84;2020;46;67927
75to84;2020;47;72153
75to84;2020;48;75997
75to84;2020;49;79755
75to84;2020;50;83574
75to84;2020;51;87232
75to84;2020;52;90390
65P;2021;0;0
65P;2021;1;14592
65P;2021;2;32448
65P;2021;3;52412
65P;2021;4;69063
65P;2021;5;80584
65P;2021;6;88095
65P;2021;7;93796
65P;2021;8;95961
65P;2021;9;96440
65P;2021;10;97644
65P;2021;11;98819
65P;2021;12;100342
65P;2021;13;102795
65P;2021;14;104847
65P;2021;15;106546
65P;2021;16;108575
65P;2021;17;109766
65P;2021;18;111675
65P;2021;19;111678
65P;2021;20;111236
65P;2021;21;110677
65P;2021;22;110223
65P;2021;23;109941
65P;2021;24;110411
65P;2021;25;110678
65P;2021;26;111867
65P;2021;27;112956
65P;2021;28;114513
65P;2021;29;118482
65P;2021;30;121548
65P;2021;31;125772
65P;2021;32;130742
65P;2021;33;134732
65P;2021;34;137658
65P;2021;35;140834
65P;2021;36;145336
65P;2021;37;147356
65P;2021;38;148183
65P;2021;39;149998
65P;2021;40;151609
65P;2021;41;154151
65P;2021;42;157125
65P;2021;43;161271
65P;2021;44;164801
65P;2021;45;169910
65P;2021;46;174847
65P;2021;47;180991
65P;2021;48;189484
65P;2021;49;197633
65P;2021;50;204344
65P;2021;51;211456
65P;2021;52;218879
65P;2022;0;0
65P;2022;1;6278
65P;2022;2;12768
65P;2022;3;19558
65P;2022;4;28047
65P;2022;5;36725
65P;2022;6;42810
65P;2022;7;47537
65P;2022;8;49738
65P;2022;9;51506
65P;2022;10;53778
65P;2022;11;56314
65P;2022;12;59555
65P;2022;13;64060
65P;2022;14;69621
65P;2022;15;74526
65P;2022;16;77585
65P;2022;17;80127
65P;2022;18;82126
65P;2022;19;84178
65P;2022;20;86143
65P;2022;21;86141
65P;2022;22;87679
65P;2022;23;89136
65P;2022;24;93291
65P;2022;25;96388
65P;2022;26;100019
65P;2022;27;105337
65P;2022;28;113320
65P;2022;29;124463
65P;2022;30;132066
65P;2022;31;138018
65P;2022;32;144733
65P;2022;33;148775
65P;2022;34;150885
65P;2022;35;151551
65P;2022;36;152182
65P;2022;37;152663
65P;2022;38;153613
65P;2022;39;156911
65P;2022;40;160886
65P;2022;41;164123
65P;2022;42;167422
65P;2022;43;169381
65P;2022;44;169554
65P;2022;45;170746
65P;2022;46;172389
65P;2022;47;175041
65P;2022;48;178622
65P;2022;49;185507
65P;2022;50;196301
65P;2022;51;211100
65P;2022;52;224832
65P;2023;0;0
65P;2023;1;11678
65P;2023;2;19546
65P;2023;3;24373
65P;2023;4;27437
65P;2023;5;30401
65P;2023;6;32820
65P;2023;7;35514
65P;2023;8;37273
65P;2023;9;38683
65P;2023;10;41934
65P;2023;11;43574
65P;2023;12;43908
65P;2023;13;43558
65P;2023;14;42546
65P;2023;15;42307
65P;2023;16;42789
65P;2023;17;42970
65P;2023;18;42437
65P;2023;19;41036
65P;2023;20;39610
65P;2023;21;39320
65P;2023;22;38423
65P;2023;23;39158
65P;2023;24;39697
65P;2023;25;39847
65P;2023;26;38511
65P;2023;27;37781
65P;2023;28;37985
65P;2023;29;38560
65P;2023;30;39187
65P;2023;31;38409
65P;2023;32;39191
65P;2023;33;40354
65P;2023;34;42687
65P;2023;35;42200
65P;2023;36;43353
65P;2023;37;42658
65P;2023;38;41158
65P;2023;39;40206
65P;2023;40;39630
65P;2023;41;39007
65P;2023;42;39462
65P;2023;43;40476
65P;2023;44;41141
65P;2023;45;41624
65P;2023;46;42566
65P;2023;47;43106
65P;2023;48;44467
65P;2023;49;43530
65P;2017;0;0
65P;2017;51;4949
65P;2017;52;12398
65P;2018;0;0
65P;2018;1;10596
65P;2018;2;20063
65P;2018;3;28752
65P;2018;4;35336
65P;2018;5;40869
65P;2018;6;46500
65P;2018;7;53478
65P;2018;8;60746
65P;2018;9;70777
65P;2018;10;80912
65P;2018;11;87433
65P;2018;12;92073
65P;2018;13;96207
65P;2018;14;99060
65P;2018;15;100635
65P;2018;16;101251
65P;2018;17;100067
65P;2018;18;98688
65P;2018;19;97227
65P;2018;20;95721
65P;2018;21;95455
65P;2018;22;95455
65P;2018;23;94408
65P;2018;24;93331
65P;2018;25;93339
65P;2018;26;94565
65P;2018;27;95991
65P;2018;28;96102
65P;2018;29;97252
65P;2018;30;99258
65P;2018;31;102056
65P;2018;32;104327
65P;2018;33;103919
65P;2018;34;103777
65P;2018;35;102714
65P;2018;36;101932
65P;2018;37;100845
65P;2018;38;100387
65P;2018;39;99239
65P;2018;40;99241
65P;2018;41;99687
65P;2018;42;98175
65P;2018;43;96813
65P;2018;44;96639
65P;2018;45;96405
65P;2018;46;94935
65P;2018;47;93648
65P;2018;48;92867
65P;2018;49;92088
65P;2018;50;91458
65P;2018;51;91857
65P;2018;52;92682
65P;2019;0;0
65P;2019;1;3255
65P;2019;2;9125
65P;2019;3;15016
65P;2019;4;21015
65P;2019;5;27331
65P;2019;6;33858
65P;2019;7;38468
65P;2019;8;42378
65P;2019;9;45746
65P;2019;10;47433
65P;2019;11;48582
65P;2019;12;47873
65P;2019;13;46907
65P;2019;14;47137
65P;2019;15;46603
65P;2019;16;47135
65P;2019;17;47483
65P;2019;18;47289
65P;2019;19;47421
65P;2019;20;47668
65P;2019;21;48122
65P;2019;22;48183
65P;2019;23;48196
65P;2019;24;48551
65P;2019;25;48960
65P;2019;26;50650
65P;2019;27;52250
65P;2019;28;52587
65P;2019;29;52418
65P;2019;30;55821
65P;2019;31;55706
65P;2019;32;55725
65P;2019;33;55045
65P;2019;34;55020
65P;2019;35;55464
65P;2019;36;54018
65P;2019;37;53234
65P;2019;38;52562
65P;2019;39;52127
65P;2019;40;51708
65P;2019;41;51948
65P;2019;42;51870
65P;2019;43;51948
65P;2019;44;51975
65P;2019;45;51861
65P;2019;46;52471
65P;2019;47;53385
65P;2019;48;53650
65P;2019;49;53863
65P;2019;50;55135
65P;2019;51;57426
65P;2019;52;58273
65P;2020;0;0
65P;2020;1;2698
65P;2020;2;6989
65P;2020;3;10319
65P;2020;4;12598
65P;2020;5;15634
65P;2020;6;16947
65P;2020;7;18215
65P;2020;8;17673
65P;2020;9;17813
65P;2020;10;18720
65P;2020;11;21717
65P;2020;12;32079
65P;2020;13;54943
65P;2020;14;88400
65P;2020;15;120429
65P;2020;16;143688
65P;2020;17;158583
65P;2020;18;166853
65P;2020;19;172112
65P;2020;20;174051
65P;2020;21;175809
65P;2020;22;175672
65P;2020;23;175198
65P;2020;24;174168
65P;2020;25;173498
65P;2020;26;174733
65P;2020;27;174845
65P;2020;28;174775
65P;2020;29;175143
65P;2020;30;175890
65P;2020;31;178564
65P;2020;32;180462
65P;2020;33;185151
65P;2020;34;186167
65P;2020;35;186341
65P;2020;36;186628
65P;2020;37;187810
65P;2020;38;189879
65P;2020;39;190565
65P;2020;40;192887
65P;2020;41;195155
65P;2020;42;198634
65P;2020;43;205994
65P;2020;44;216398
65P;2020;45;229638
65P;2020;46;243658
65P;2020;47;256641
65P;2020;48;268615
65P;2020;49;280706
65P;2020;50;292533
65P;2020;51;303593
65P;2020;52;313703
85P;2021;0;0
85P;2021;1;7685
85P;2021;2;17141
85P;2021;3;27647
85P;2021;4;36541
85P;2021;5;42033
85P;2021;6;45340
85P;2021;7;47687
85P;2021;8;48090
85P;2021;9;47137
85P;2021;10;46632
85P;2021;11;46040
85P;2021;12;45541
85P;2021;13;45323
85P;2021;14;45027
85P;2021;15;44927
85P;2021;16;44929
85P;2021;17;44803
85P;2021;18;45015
85P;2021;19;44412
85P;2021;20;43543
85P;2021;21;42977
85P;2021;22;42545
85P;2021;23;42148
85P;2021;24;42357
85P;2021;25;42372
85P;2021;26;42962
85P;2021;27;43715
85P;2021;28;44564
85P;2021;29;46693
85P;2021;30;48418
85P;2021;31;50826
85P;2021;32;53736
85P;2021;33;55959
85P;2021;34;57426
85P;2021;35;58778
85P;2021;36;61036
85P;2021;37;61931
85P;2021;38;62121
85P;2021;39;62748
85P;2021;40;63295
85P;2021;41;64241
85P;2021;42;65749
85P;2021;43;67567
85P;2021;44;68936
85P;2021;45;71085
85P;2021;46;72956
85P;2021;47;75117
85P;2021;48;78667
85P;2021;49;82282
85P;2021;50;85173
85P;2021;51;88157
85P;2021;52;91290
85P;2022;0;0
85P;2022;1;2983
85P;2022;2;6256
85P;2022;3;9883
85P;2022;4;14520
85P;2022;5;19329
85P;2022;6;22750
85P;2022;7;25397
85P;2022;8;26416
85P;2022;9;27248
85P;2022;10;28382
85P;2022;11;29608
85P;2022;12;31455
85P;2022;13;33884
85P;2022;14;36998
85P;2022;15;39899
85P;2022;16;41952
85P;2022;17;43452
85P;2022;18;44528
85P;2022;19;45622
85P;2022;20;46910
85P;2022;21;47030
85P;2022;22;47765
85P;2022;23;48569
85P;2022;24;51123
85P;2022;25;52641
85P;2022;26;54845
85P;2022;27;58218
85P;2022;28;63160
85P;2022;29;70011
85P;2022;30;74797
85P;2022;31;78773
85P;2022;32;82900
85P;2022;33;85432
85P;2022;34;86884
85P;2022;35;87569
85P;2022;36;87715
85P;2022;37;88045
85P;2022;38;88625
85P;2022;39;90475
85P;2022;40;92765
85P;2022;41;94459
85P;2022;42;96346
85P;2022;43;97372
85P;2022;44;97476
85P;2022;45;98071
85P;2022;46;98845
85P;2022;47;99890
85P;2022;48;101765
85P;2022;49;105385
85P;2022;50;110924
85P;2022;51;118743
85P;2022;52;125940
85P;2023;0;0
85P;2023;1;6554
85P;2023;2;11195
85P;2023;3;14269
85P;2023;4;15991
85P;2023;5;17797
85P;2023;6;19276
85P;2023;7;20983
85P;2023;8;21866
85P;2023;9;22649
85P;2023;10;24170
85P;2023;11;24959
85P;2023;12;25091
85P;2023;13;24663
85P;2023;14;23919
85P;2023;15;23616
85P;2023;16;23751
85P;2023;17;23771
85P;2023;18;23504
85P;2023;19;22468
85P;2023;20;21737
85P;2023;21;21466
85P;2023;22;20954
85P;2023;23;21323
85P;2023;24;21538
85P;2023;25;21366
85P;2023;26;20625
85P;2023;27;20230
85P;2023;28;20589
85P;2023;29;20996
85P;2023;30;21397
85P;2023;31;21159
85P;2023;32;21607
85P;2023;33;22541
85P;2023;34;24142
85P;2023;35;24047
85P;2023;36;24644
85P;2023;37;24264
85P;2023;38;23362
85P;2023;39;22636
85P;2023;40;22284
85P;2023;41;21584
85P;2023;42;21823
85P;2023;43;22321
85P;2023;44;22516
85P;2023;45;22519
85P;2023;46;22958
85P;2023;47;22912
85P;2023;48;23410
85P;2023;49;23047
85P;2017;0;0
85P;2017;51;2562
85P;2017;52;6570
85P;2018;0;0
85P;2018;1;6436
85P;2018;2;12237
85P;2018;3;17516
85P;2018;4;21584
85P;2018;5;24824
85P;2018;6;28023
85P;2018;7;32105
85P;2018;8;36554
85P;2018;9;42322
85P;2018;10;48166
85P;2018;11;52090
85P;2018;12;54779
85P;2018;13;57216
85P;2018;14;58867
85P;2018;15;59878
85P;2018;16;60239
85P;2018;17;59702
85P;2018;18;58900
85P;2018;19;58251
85P;2018;20;57498
85P;2018;21;57414
85P;2018;22;57203
85P;2018;23;56475
85P;2018;24;55959
85P;2018;25;56052
85P;2018;26;56827
85P;2018;27;57844
85P;2018;28;58083
85P;2018;29;58939
85P;2018;30;60206
85P;2018;31;61963
85P;2018;32;63468
85P;2018;33;63571
85P;2018;34;63640
85P;2018;35;63101
85P;2018;36;62790
85P;2018;37;62084
85P;2018;38;61983
85P;2018;39;61290
85P;2018;40;61456
85P;2018;41;61895
85P;2018;42;61236
85P;2018;43;60476
85P;2018;44;60382
85P;2018;45;60148
85P;2018;46;59403
85P;2018;47;58556
85P;2018;48;57657
85P;2018;49;56920
85P;2018;50;56175
